method,n_features,sex_auc,sex_balacc,age_mae,age_r2,sex_auc_std,age_mae_std,eval
Naive (majority / mean age),0.0,0.5,0.5,11.725866183793572,0.0,,,5-fold CV
Organ volumes only (XGB),16.0,0.8147690249315888,0.7182450069284274,10.540351922867146,0.18721796199773383,0.022842434337032112,0.7215004109385277,5-fold CV
Size descriptors (XGB),112.0,0.8629306129660179,0.762474037176273,9.618544462488051,0.29291070453734747,0.017034935954400678,0.6520312139994396,5-fold CV
Shape descriptors (XGB),128.0,0.790582582383675,0.6993627814257029,9.64157754289343,0.29720018445269625,0.03526994633170745,0.7232840979504801,5-fold CV
All descriptors (linear),240.0,0.8542518804038511,0.754721012361666,9.96958384917415,0.18775984209363888,0.02440154988660513,0.7546449687326061,5-fold CV
All descriptors (RandomForest),240.0,0.8489982419139024,0.7452452674886678,9.61497084098462,0.3000930750363267,0.02635926786846912,0.6948518904584103,5-fold CV
All descriptors (XGBoost),240.0,0.8684790348494369,0.7553047923832101,9.270583362985164,0.335770848012103,0.016470544359507643,0.7356931761674131,5-fold CV
SSM-PCA coeffs (XGB),240.0,0.6361898476587271,0.5873407863310547,11.708849954808013,-0.010917756583491834,,,5-fold CV
Multi-organ PointNet,,0.780222082547664,0.6660381311544102,12.282594045003256,0.021461288134257,,,held-out test
