held_out,n_test,frac_female,sex_auc,sex_auc_lo,sex_auc_hi,age_mae,age_r2
I,854,0.4114888628370457,0.8271529267545203,0.7991446763140105,0.8525672538818754,10.468344431571156,0.21914441442120935
C,96,0.40625,0.921727395411606,0.8643247785829308,0.9642684331797235,7.927037914594014,0.43182559482326177
A,81,0.5308641975308642,0.8433292533659731,0.7515186949932972,0.9192239195040984,8.441644880506727,0.23714757062057001
B,52,0.28846153846153844,0.9351351351351351,0.8619322344322345,0.9865581620674878,8.926294106703539,0.3480253204200583
E,52,0.4423076923076923,0.9737631184407797,0.931105222734255,0.9991834951684023,8.171199358426607,0.3898660237155195
